Scenario,ProdOv,ConsOv,ProdCur,ConsCur
1,0,10,0,0
2,0,10,0,50
3,0,10,0,100
4,0,10,50,0
5,0,10,50,50
6,0,10,50,100
7,0,10,100,0
8,0,10,100,50
9,0,10,100,100
10,0,25,0,0
11,0,25,0,50
12,0,25,0,100
13,0,25,50,0
14,0,25,50,50
15,0,25,50,100
16,0,25,100,0
17,0,25,100,50
18,0,25,100,100
19,0,50,0,0
20,0,50,0,50
21,0,50,0,100
22,0,50,50,0
23,0,50,50,50
24,0,50,50,100
25,0,50,100,0
26,0,50,100,50
27,0,50,100,100
28,0,100,0,0
29,0,100,0,50
30,0,100,0,100
31,0,100,50,0
32,0,100,50,50
33,0,100,50,100
34,0,100,100,0
35,0,100,100,50
36,0,100,100,100
37,10,0,0,0
38,10,0,0,50
39,10,0,0,100
40,10,0,50,0
41,10,0,50,50
42,10,0,50,100
43,10,0,100,0
44,10,0,100,50
45,10,0,100,100
46,10,10,0,0
47,10,10,0,50
48,10,10,0,100
49,10,10,50,0
50,10,10,50,50
51,10,10,50,100
52,10,10,100,0
53,10,10,100,50
54,10,10,100,100
55,10,25,0,0
56,10,25,0,50
57,10,25,0,100
58,10,25,50,0
59,10,25,50,50
60,10,25,50,100
61,10,25,100,0
62,10,25,100,50
63,10,25,100,100
64,10,50,0,0
65,10,50,0,50
66,10,50,0,100
67,10,50,50,0
68,10,50,50,50
69,10,50,50,100
70,10,50,100,0
71,10,50,100,50
72,10,50,100,100
73,10,100,0,0
74,10,100,0,50
75,10,100,0,100
76,10,100,50,0
77,10,100,50,50
78,10,100,50,100
79,10,100,100,0
80,10,100,100,50
81,10,100,100,100
82,25,0,0,0
83,25,0,0,50
84,25,0,0,100
85,25,0,50,0
86,25,0,50,50
87,25,0,50,100
88,25,0,100,0
89,25,0,100,50
90,25,0,100,100
91,25,10,0,0
92,25,10,0,50
93,25,10,0,100
94,25,10,50,0
95,25,10,50,50
96,25,10,50,100
97,25,10,100,0
98,25,10,100,50
99,25,10,100,100
100,25,25,0,0
101,25,25,0,50
102,25,25,0,100
103,25,25,50,0
104,25,25,50,50
105,25,25,50,100
106,25,25,100,0
107,25,25,100,50
108,25,25,100,100
109,25,50,0,0
110,25,50,0,50
111,25,50,0,100
112,25,50,50,0
113,25,50,50,50
114,25,50,50,100
115,25,50,100,0
116,25,50,100,50
117,25,50,100,100
118,25,100,0,0
119,25,100,0,50
120,25,100,0,100
121,25,100,50,0
122,25,100,50,50
123,25,100,50,100
124,25,100,100,0
125,25,100,100,50
126,25,100,100,100
127,50,0,0,0
128,50,0,0,50
129,50,0,0,100
130,50,0,50,0
131,50,0,50,50
132,50,0,50,100
133,50,0,100,0
134,50,0,100,50
135,50,0,100,100
136,50,10,0,0
137,50,10,0,50
138,50,10,0,100
139,50,10,50,0
140,50,10,50,50
141,50,10,50,100
142,50,10,100,0
143,50,10,100,50
144,50,10,100,100
145,50,25,0,0
146,50,25,0,50
147,50,25,0,100
148,50,25,50,0
149,50,25,50,50
150,50,25,50,100
151,50,25,100,0
152,50,25,100,50
153,50,25,100,100
154,50,50,0,0
155,50,50,0,50
156,50,50,0,100
157,50,50,50,0
158,50,50,50,50
159,50,50,50,100
160,50,50,100,0
161,50,50,100,50
162,50,50,100,100
163,50,100,0,0
164,50,100,0,50
165,50,100,0,100
166,50,100,50,0
167,50,100,50,50
168,50,100,50,100
169,50,100,100,0
170,50,100,100,50
171,50,100,100,100
172,100,0,0,0
173,100,0,0,50
174,100,0,0,100
175,100,0,50,0
176,100,0,50,50
177,100,0,50,100
178,100,0,100,0
179,100,0,100,50
180,100,0,100,100
181,100,10,0,0
182,100,10,0,50
183,100,10,0,100
184,100,10,50,0
185,100,10,50,50
186,100,10,50,100
187,100,10,100,0
188,100,10,100,50
189,100,10,100,100
190,100,25,0,0
191,100,25,0,50
192,100,25,0,100
193,100,25,50,0
194,100,25,50,50
195,100,25,50,100
196,100,25,100,0
197,100,25,100,50
198,100,25,100,100
199,100,50,0,0
200,100,50,0,50
201,100,50,0,100
202,100,50,50,0
203,100,50,50,50
204,100,50,50,100
205,100,50,100,0
206,100,50,100,50
207,100,50,100,100
208,100,100,0,0
209,100,100,0,50
210,100,100,0,100
211,100,100,50,0
212,100,100,50,50
213,100,100,50,100
214,100,100,100,0
215,100,100,100,50
216,100,100,100,100
